post_length,count
0-50,4
50-100,6
100-150,4
150-200,11
200-250,15
250-300,19
300-350,28
350-400,29
400-450,43
450-500,61
500-550,56
550-600,83
600-650,81
650-700,99
700-750,111
750-800,140
800-850,183
850-900,198
900-950,230
950-1000,259
1000-1050,306
1050-1100,347
1100-1150,379
1150-1200,429
1200-1250,482
1250-1300,546
1300-1350,609
1350-1400,585
1400-1450,625
1450-1500,560
1500-1550,564
1550-1600,493
1600-1650,409
1650-1700,319
1700-1750,208
1750-1800,87
1800-1850,50
1850-1900,14
1900-1950,2
1950-2000,0
2000-2050,0
2050-2100,0
2100-2150,0
2150-2200,0
2200-2250,1
2250-2300,0
2300-2350,0
2350-2400,0
2400-2450,0
2450-2500,0
2500-2550,0
2550-2600,0
2600-2650,0
2650-2700,0
2700-2750,0
2750-2800,0
2800-2850,0
2850-2900,0
2900-2950,0
2950-3000,0
