post_length,before,after
0-50,4,508
50-100,6,391
100-150,4,331
150-200,11,348
200-250,15,316
250-300,19,299
300-350,28,305
350-400,29,263
400-450,43,300
450-500,61,255
500-550,56,271
550-600,83,302
600-650,81,298
650-700,99,333
700-750,111,335
750-800,140,362
800-850,183,415
850-900,198,417
900-950,230,501
950-1000,259,501
1000-1050,306,467
1050-1100,347,421
1100-1150,379,342
1150-1200,429,246
1200-1250,482,112
1250-1300,546,26
1300-1350,609,8
1350-1400,585,2
1400-1450,625,0
1450-1500,560,0
1500-1550,564,0
1550-1600,493,0
1600-1650,409,0
1650-1700,319,0
1700-1750,208,0
1750-1800,87,0
1800-1850,50,0
1850-1900,14,0
1900-1950,2,0
1950-2000,0,0
2000-2050,0,0
2050-2100,0,0
2100-2150,0,0
2150-2200,0,0
2200-2250,1,0
2250-2300,0,0
2300-2350,0,0
2350-2400,0,0
2400-2450,0,0
2450-2500,0,0
2500-2550,0,0
2550-2600,0,0
2600-2650,0,0
2650-2700,0,0
2700-2750,0,0
2750-2800,0,0
2800-2850,0,0
2850-2900,0,0
2900-2950,0,0
2950-3000,0,0
